Timestamp,Strategy,Ticker,Live_Price,Buy_Floor,Exit_Ceiling,Move_Pct,Zone_Start,Zone_End
2026-07-03 10:50:56,KNOXVILLE,HDFCBANK.NS,801.0499877929688,680.8924896240234,841.1024871826172,-0.60%,2026-07-03,2026-07-03
2026-07-03 10:50:56,KNOXVILLE,PIDILITIND.NS,1598.0,1358.3,1677.9,-1.40%,2026-07-03,2026-07-03
2026-07-03 10:50:56,KNOXVILLE,TITAN.NS,4461.10009765625,3791.9350830078124,4684.155102539063,0.44%,2026-07-03,2026-07-03
2026-07-03 11:06:27,KNOXVILLE,TITAN.NS,4461.10009765625,3791.9350830078124,4684.155102539063,0.44%,2026-07-03,2026-07-03
2026-07-03 11:06:27,KNOXVILLE,HDFCBANK.NS,801.0499877929688,680.8924896240234,841.1024871826172,-0.60%,2026-07-03,2026-07-03
2026-07-03 11:06:27,KNOXVILLE,PIDILITIND.NS,1598.0,1358.3,1677.9,-1.40%,2026-07-03,2026-07-03
2026-07-03 12:08:01,KNOXVILLE,PIDILITIND.NS,1598.0,1358.3,1677.9,-1.40%,2026-07-03,2026-07-03
2026-07-03 12:08:01,KNOXVILLE,TITAN.NS,4461.10009765625,3791.9350830078124,4684.155102539063,0.44%,2026-07-03,2026-07-03
2026-07-03 12:08:01,KNOXVILLE,HDFCBANK.NS,801.0499877929688,680.8924896240234,841.1024871826172,-0.60%,2026-07-03,2026-07-03
2026-07-07 12:26:01,KNOXVILLE,HDFCBANK.NS,829.2999877929688,704.9049896240234,870.7649871826172,-0.26%,2026-07-07,2026-07-07
2026-07-07 12:26:01,KNOXVILLE,ICICIBANK.NS,1414.699951171875,1202.4949584960937,1485.4349487304687,-1.18%,2026-07-07,2026-07-07
2026-07-07 12:26:01,KNOXVILLE,BAJFINANCE.NS,1042.5,886.125,1094.625,0.22%,2026-07-07,2026-07-07
2026-07-07 12:26:01,KNOXVILLE,PIDILITIND.NS,1622.300048828125,1378.9550415039062,1703.4150512695314,0.10%,2026-07-07,2026-07-07
2026-07-07 12:26:01,KNOXVILLE,NESTLEIND.NS,1471.800048828125,1251.0300415039062,1545.3900512695313,0.55%,2026-07-07,2026-07-07
2026-07-10 12:23:59,KNOXVILLE,BAJAJFINSV.NS,1916.0,1628.6,2011.8000000000002,0.21%,2026-07-10,2026-07-10
2026-07-13 12:29:40,KNOXVILLE,PFIZER.NS,4736.2998046875,4025.854833984375,4973.114794921875,-0.24%,2026-07-13,2026-07-13
2026-07-14 11:24:26,KNOXVILLE,GLAXO.NS,2463.39990234375,2093.8899169921874,2586.5698974609377,-1.65%,2026-07-14,2026-07-14
2026-07-14 11:24:26,KNOXVILLE,ITC.NS,275.54998779296875,261.7724884033203,316.882485961914,-0.51%,2026-07-14,2026-07-14
2026-07-15 11:27:18,KNOXVILLE,PFIZER.NS,4704.5,3998.825,4939.725,-0.91%,2026-07-15,2026-07-15
2026-07-16 11:38:09,KNOXVILLE,LT.NS,3775.60009765625,3586.8200927734374,4341.940112304687,-0.08%,2026-07-16,2026-07-16
